timestamp,source,symbol,data_type,price,bid,ask,volume,quote_volume,high_24h,low_24h,price_change_24h,bids,asks,bid_volume,ask_volume,instrument,strike,expiry,type,open_interest,iv,mark
2025-07-10 09:24:03.029684+00:00,binance,ETHUSDT,orderbook,,,,,,,,,"[['2780.23000000', '2.35490000'], ['2780.22000000', '0.01500000'], ['2780.21000000', '0.00190000'], ['2780.20000000', '0.13570000'], ['2780.19000000', '1.48200000'], ['2780.18000000', '0.00570000'], ['2780.17000000', '1.43300000'], ['2780.15000000', '0.00190000'], ['2780.14000000', '0.00190000'], ['2780.13000000', '0.00190000']]","[['2780.24000000', '121.85920000'], ['2780.25000000', '1.01200000'], ['2780.29000000', '1.32830000'], ['2780.30000000', '1.10560000'], ['2780.31000000', '0.00210000'], ['2780.33000000', '2.28300000'], ['2780.35000000', '0.17990000'], ['2780.38000000', '0.00210000'], ['2780.40000000', '1.10200000'], ['2780.45000000', '8.50650000']]",5.4339,137.3807,,,,,,,
2025-07-10 09:24:04.134688+00:00,binance,BTCUSDT,spot,111125.08,111125.07,111125.08,18784.21763,2074904566.500525,111999.79,108503.0,2.288,,,,,,,,,,,
2025-07-10 09:24:04.227299+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111125.07000000', '0.68608000'], ['111125.06000000', '0.00631000'], ['111124.76000000', '0.00080000'], ['111124.54000000', '0.00052000'], ['111124.13000000', '0.00007000'], ['111124.12000000', '0.00202000'], ['111124.10000000', '0.00010000'], ['111124.09000000', '0.29781000'], ['111124.00000000', '0.00010000'], ['111123.99000000', '0.36925000']]","[['111125.08000000', '3.85568000'], ['111125.25000000', '0.00144000'], ['111125.71000000', '0.06741000'], ['111126.10000000', '0.00005000'], ['111126.30000000', '0.00005000'], ['111126.90000000', '0.00010000'], ['111126.91000000', '0.29713000'], ['111126.99000000', '0.00010000'], ['111127.31000000', '0.00050000'], ['111127.54000000', '0.00010000']]",1.3630600000000002,4.22256,,,,,,,
2025-07-10 09:24:04.319273+00:00,binance,ETHUSDT,spot,2780.14,2780.13,2780.14,846674.1092,2313134352.569064,2823.18,2606.49,6.419,,,,,,,,,,,
2025-07-10 09:24:04.417250+00:00,binance,ETHUSDT,orderbook,,,,,,,,,"[['2780.07000000', '10.03880000'], ['2780.06000000', '0.00380000'], ['2780.04000000', '0.00780000'], ['2780.03000000', '0.72300000'], ['2780.02000000', '0.00550000'], ['2780.01000000', '0.00190000'], ['2780.00000000', '0.00750000'], ['2779.99000000', '0.72120000'], ['2779.98000000', '1.45260000'], ['2779.96000000', '0.00190000']]","[['2780.08000000', '95.78350000'], ['2780.09000000', '1.62390000'], ['2780.10000000', '1.11400000'], ['2780.11000000', '6.00210000'], ['2780.12000000', '11.52910000'], ['2780.13000000', '0.00360000'], ['2780.14000000', '0.57940000'], ['2780.15000000', '0.00210000'], ['2780.16000000', '0.01780000'], ['2780.18000000', '0.00360000']]",12.963999999999999,116.65910000000002,,,,,,,
2025-07-10 09:24:05.517618+00:00,binance,BTCUSDT,spot,111125.08,111125.07,111125.08,18784.2305,2074906002.9185436,111999.79,108503.0,2.288,,,,,,,,,,,
2025-07-10 09:24:05.620809+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111125.07000000', '1.64328000'], ['111125.06000000', '0.00626000'], ['111124.76000000', '0.00080000'], ['111124.54000000', '0.00052000'], ['111124.13000000', '0.00007000'], ['111124.12000000', '0.00202000'], ['111124.10000000', '0.00010000'], ['111124.09000000', '0.29781000'], ['111124.00000000', '0.00010000'], ['111123.99000000', '0.36925000']]","[['111125.08000000', '3.65912000'], ['111125.09000000', '0.00020000'], ['111125.25000000', '0.00144000'], ['111126.10000000', '0.00005000'], ['111126.99000000', '0.00010000'], ['111127.31000000', '0.00050000'], ['111127.53000000', '0.00010000'], ['111127.54000000', '0.18026000'], ['111127.55000000', '0.33174000'], ['111127.56000000', '0.09666000']]",2.32021,4.270170000000001,,,,,,,
2025-07-10 09:24:05.712527+00:00,binance,ETHUSDT,spot,2780.08,2780.07,2780.08,846675.5718,2313138420.690597,2823.18,2606.49,6.417,,,,,,,,,,,
2025-07-10 09:24:05.811801+00:00,binance,ETHUSDT,orderbook,,,,,,,,,"[['2780.49000000', '17.47450000'], ['2780.48000000', '0.00190000'], ['2780.47000000', '0.00570000'], ['2780.46000000', '0.48340000'], ['2780.44000000', '0.00930000'], ['2780.43000000', '0.70240000'], ['2780.42000000', '1.76260000'], ['2780.41000000', '0.00550000'], ['2780.40000000', '0.00190000'], ['2780.39000000', '0.00750000']]","[['2780.50000000', '30.57420000'], ['2780.51000000', '0.15330000'], ['2780.53000000', '0.00570000'], ['2780.54000000', '0.01080000'], ['2780.58000000', '0.00950000'], ['2780.59000000', '0.63030000'], ['2780.60000000', '1.10200000'], ['2780.61000000', '0.00380000'], ['2780.62000000', '0.71700000'], ['2780.63000000', '0.17990000']]",20.4547,33.3865,,,,,,,
2025-07-10 09:24:06.909405+00:00,binance,BTCUSDT,spot,111124.34,111124.34,111124.35,18784.16935,2074899438.1766102,111999.79,108503.0,2.287,,,,,,,,,,,
2025-07-10 09:24:07.003765+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111123.95000000', '1.29320000'], ['111123.94000000', '0.00798000'], ['111123.57000000', '0.00710000'], ['111123.48000000', '0.00009000'], ['111123.00000000', '0.00100000'], ['111122.65000000', '0.07840000'], ['111122.16000000', '0.00005000'], ['111122.01000000', '0.00211000'], ['111122.00000000', '0.00100000'], ['111121.90000000', '0.00560000']]","[['111123.96000000', '10.57006000'], ['111123.97000000', '0.79901000'], ['111123.99000000', '0.00515000'], ['111124.33000000', '0.00010000'], ['111124.34000000', '0.10398000'], ['111124.35000000', '2.11447000'], ['111124.43000000', '0.06756000'], ['111124.55000000', '0.44983000'], ['111125.08000000', '0.11145000'], ['111125.25000000', '0.00134000']]",1.39653,14.222950000000003,,,,,,,
2025-07-10 09:24:07.097138+00:00,binance,ETHUSDT,spot,2780.5,2780.49,2780.5,846693.4997,2313188277.212336,2823.18,2606.49,6.433,,,,,,,,,,,
2025-07-10 09:24:07.191776+00:00,binance,ETHUSDT,orderbook,,,,,,,,,"[['2780.49000000', '13.45280000'], ['2780.48000000', '0.00380000'], ['2780.47000000', '0.00570000'], ['2780.46000000', '6.29790000'], ['2780.44000000', '0.00550000'], ['2780.43000000', '0.00940000'], ['2780.42000000', '0.00370000'], ['2780.41000000', '0.00550000'], ['2780.40000000', '0.00370000'], ['2780.39000000', '0.00370000']]","[['2780.50000000', '23.03950000'], ['2780.51000000', '0.14970000'], ['2780.53000000', '0.00550000'], ['2780.54000000', '0.01290000'], ['2780.56000000', '0.00190000'], ['2780.58000000', '0.00740000'], ['2780.59000000', '6.69470000'], ['2780.60000000', '1.10580000'], ['2780.61000000', '19.76210000'], ['2780.62000000', '0.71700000']]",19.791699999999995,51.4965,,,,,,,
2025-07-10 09:24:08.290867+00:00,binance,BTCUSDT,spot,111123.95,111123.95,111123.96,18784.18656,2074902119.9309204,111999.79,108503.0,2.287,,,,,,,,,,,
2025-07-10 09:24:08.392651+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111115.41000000', '0.29715000'], ['111115.40000000', '0.00679000'], ['111115.32000000', '0.00039000'], ['111115.20000000', '0.00010000'], ['111115.19000000', '0.01420000'], ['111115.00000000', '0.00100000'], ['111114.92000000', '0.00116000'], ['111114.49000000', '0.00968000'], ['111114.48000000', '0.00009000'], ['111114.47000000', '0.00035000']]","[['111115.42000000', '10.76448000'], ['111115.94000000', '0.01837000'], ['111116.01000000', '0.29691000'], ['111116.08000000', '0.00134000'], ['111116.14000000', '0.01500000'], ['111117.20000000', '0.00044000'], ['111117.21000000', '0.00044000'], ['111117.65000000', '0.00049000'], ['111118.64000000', '0.00010000'], ['111118.65000000', '4.27787000']]",0.33091000000000004,15.375440000000001,,,,,,,
2025-07-10 09:24:08.494726+00:00,binance,ETHUSDT,spot,2780.49,2780.49,2780.5,846689.367,2313177483.126389,2823.18,2606.49,6.433,,,,,,,,,,,
2025-07-10 09:24:08.590247+00:00,binance,ETHUSDT,orderbook,,,,,,,,,"[['2780.49000000', '9.01070000'], ['2780.48000000', '0.53220000'], ['2780.47000000', '6.30200000'], ['2780.46000000', '0.00380000'], ['2780.44000000', '0.00550000'], ['2780.43000000', '0.00590000'], ['2780.42000000', '0.00190000'], ['2780.41000000', '0.00550000'], ['2780.40000000', '0.00370000'], ['2780.39000000', '0.00190000']]","[['2780.50000000', '39.54020000'], ['2780.51000000', '0.14970000'], ['2780.53000000', '0.00550000'], ['2780.54000000', '0.01290000'], ['2780.56000000', '0.00570000'], ['2780.57000000', '0.96750000'], ['2780.58000000', '0.00360000'], ['2780.59000000', '0.06860000'], ['2780.60000000', '1.10200000'], ['2780.62000000', '0.00370000']]",15.873099999999997,41.859399999999994,,,,,,,
2025-07-10 09:24:09.689037+00:00,binance,BTCUSDT,spot,111115.42,111115.41,111115.42,18785.23139,2075018284.3800004,111999.79,108503.0,2.279,,,,,,,,,,,
2025-07-10 09:24:09.782090+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111115.41000000', '0.43425000'], ['111115.40000000', '0.00714000'], ['111115.32000000', '0.00029000'], ['111115.20000000', '0.00010000'], ['111115.19000000', '0.01420000'], ['111115.00000000', '0.00100000'], ['111114.92000000', '0.00116000'], ['111114.49000000', '0.00068000'], ['111114.48000000', '0.00019000'], ['111114.47000000', '0.20079000']]","[['111115.42000000', '10.71581000'], ['111115.43000000', '0.02039000'], ['111116.08000000', '0.00144000'], ['111116.13000000', '0.00010000'], ['111116.14000000', '0.01510000'], ['111116.77000000', '0.00005000'], ['111116.84000000', '0.00010000'], ['111116.85000000', '0.29706000'], ['111117.20000000', '0.00087000'], ['111117.21000000', '0.00044000']]",0.6598,11.05136,,,,,,,
2025-07-10 09:24:09.873537+00:00,binance,ETHUSDT,spot,2780.49,2780.49,2780.5,846671.8572,2313131739.824276,2823.18,2606.49,6.432,,,,,,,,,,,
