timestamp,source,symbol,data_type,bids,asks,bid_volume,ask_volume,price,bid,ask,volume,quote_volume,high_24h,low_24h,price_change_24h,price_acceleration,volume_anomaly,instrument,strike,expiry,type,open_interest,iv,mark
2025-07-10 08:57:21.431819+00:00,deribit,ETH,option,,,,,,0.0,0.0002,4.0,,,,,,,ETH-11JUL25-2100-P,2100.0,1752220800000.0,put,3259.0,138.93,0.0
2025-07-10 08:57:21.749771+00:00,deribit,ETH,option,,,,,,0.228,0.231,0.0,,,,,,,ETH-11JUL25-2150-C,2150.0,1752220800000.0,call,118.0,138.76,0.2295
2025-07-10 08:57:22.069839+00:00,deribit,ETH,option,,,,,,0.0,0.0002,384.0,,,,,,,ETH-11JUL25-2150-P,2150.0,1752220800000.0,put,3511.0,138.76,0.0
2025-07-10 08:57:22.389127+00:00,deribit,ETH,option,,,,,,0.21,0.2135,0.0,,,,,,,ETH-11JUL25-2200-C,2200.0,1752220800000.0,call,243.0,138.73,0.2116
2025-07-10 08:57:22.708680+00:00,deribit,ETH,option,,,,,,0.0,0.0003,12.0,,,,,,,ETH-11JUL25-2200-P,2200.0,1752220800000.0,put,7519.0,138.73,0.0
2025-07-10 08:57:23.036376+00:00,deribit,ETH,option,,,,,,0.1925,0.1955,0.0,,,,,,,ETH-11JUL25-2250-C,2250.0,1752220800000.0,call,394.0,137.28,0.1937
2025-07-10 08:57:23.357366+00:00,deribit,ETH,option,,,,,,0.0,0.0003,616.0,,,,,,,ETH-11JUL25-2250-P,2250.0,1752220800000.0,put,4934.0,137.28,0.0
2025-07-10 08:57:23.676004+00:00,deribit,ETH,option,,,,,,0.1745,0.1775,0.0,,,,,,,ETH-11JUL25-2300-C,2300.0,1752220800000.0,call,845.0,128.19,0.1758
2025-07-10 08:57:23.996886+00:00,deribit,ETH,option,,,,,,0.0,0.0003,2183.0,,,,,,,ETH-11JUL25-2300-P,2300.0,1752220800000.0,put,13301.0,128.19,0.0
2025-07-10 08:57:24.637064+00:00,binance,BTCUSDT,spot,,,,,111239.9,111239.9,111239.91,18766.94679,2072740752.2036283,111999.79,108503.0,2.353,,,,,,,,,
2025-07-10 08:57:24.728334+00:00,binance,BTCUSDT,orderbook,"[['111239.90000000', '1.85824000'], ['111239.89000000', '0.00202000'], ['111239.62000000', '0.00010000'], ['111239.61000000', '0.01581000'], ['111239.16000000', '0.00134000'], ['111239.13000000', '0.00010000'], ['111239.12000000', '0.00988000'], ['111239.00000000', '0.00100000'], ['111238.55000000', '0.00140000'], ['111238.00000000', '0.00100000']]","[['111239.91000000', '4.18906000'], ['111239.92000000', '0.00030000'], ['111240.00000000', '0.00005000'], ['111240.28000000', '0.00010000'], ['111240.29000000', '0.07863000'], ['111240.40000000', '0.00006000'], ['111240.49000000', '0.00010000'], ['111240.50000000', '0.08474000'], ['111240.57000000', '0.00134000'], ['111240.86000000', '0.00005000']]",1.8908899999999995,4.35443,,,,,,,,,,,,,,,,,
2025-07-10 08:57:24.819721+00:00,binance,ETHUSDT,spot,,,,,2788.5,2788.49,2788.5,847364.1937,2313523977.243071,2823.18,2604.37,6.636,,,,,,,,,
2025-07-10 08:57:24.912689+00:00,binance,ETHUSDT,orderbook,"[['2788.49000000', '51.87490000'], ['2788.48000000', '0.75870000'], ['2788.47000000', '0.00190000'], ['2788.45000000', '0.00400000'], ['2788.44000000', '0.00550000'], ['2788.43000000', '0.00190000'], ['2788.42000000', '0.00590000'], ['2788.41000000', '0.00380000'], ['2788.40000000', '1.10750000'], ['2788.39000000', '0.00740000']]","[['2788.50000000', '47.54040000'], ['2788.51000000', '0.00400000'], ['2788.52000000', '0.00390000'], ['2788.53000000', '0.00380000'], ['2788.54000000', '0.47050000'], ['2788.55000000', '0.76350000'], ['2788.58000000', '0.00190000'], ['2788.59000000', '0.00190000'], ['2788.60000000', '0.03780000'], ['2788.61000000', '0.00190000']]",53.77149999999998,48.82959999999999,,,,,,,,,,,,,,,,,
2025-07-10 08:57:27.063523+00:00,binance,BTCUSDT,spot,,,,,111240.5,111240.49,111240.5,18771.44526,2073241277.2806294,111999.79,108503.0,2.353,,,,,,,,,
2025-07-10 08:57:27.154638+00:00,binance,BTCUSDT,orderbook,"[['111240.49000000', '7.03451000'], ['111240.48000000', '0.00050000'], ['111240.46000000', '0.00005000'], ['111240.41000000', '0.00010000'], ['111240.40000000', '0.72423000'], ['111240.39000000', '0.11195000'], ['111240.38000000', '0.00244000'], ['111240.19000000', '0.00005000'], ['111240.02000000', '0.00010000'], ['111240.01000000', '0.29683000']]","[['111240.50000000', '1.76608000'], ['111240.51000000', '0.00060000'], ['111240.57000000', '0.00144000'], ['111241.55000000', '0.00010000'], ['111241.56000000', '0.08542000'], ['111241.57000000', '0.00010000'], ['111241.58000000', '0.13545000'], ['111242.29000000', '0.00005000'], ['111242.73000000', '0.01062000'], ['111243.40000000', '0.00005000']]",8.17076,1.9999100000000005,,,,,,,,,,,,,,,,,
2025-07-10 08:57:27.247031+00:00,binance,ETHUSDT,spot,,,,,2788.5,2788.49,2788.5,847360.7166,2313514892.60751,2823.18,2604.37,6.635,,,,,,,,,
2025-07-10 08:57:27.345135+00:00,binance,ETHUSDT,orderbook,"[['2788.49000000', '53.84490000'], ['2788.48000000', '0.75490000'], ['2788.47000000', '0.00190000'], ['2788.45000000', '0.00400000'], ['2788.44000000', '0.00550000'], ['2788.43000000', '0.00190000'], ['2788.42000000', '0.00590000'], ['2788.41000000', '0.00380000'], ['2788.40000000', '1.10750000'], ['2788.39000000', '0.00740000']]","[['2788.50000000', '37.89330000'], ['2788.51000000', '0.00590000'], ['2788.52000000', '0.00390000'], ['2788.53000000', '0.00190000'], ['2788.54000000', '0.00400000'], ['2788.55000000', '0.00740000'], ['2788.56000000', '0.73200000'], ['2788.58000000', '0.00190000'], ['2788.59000000', '0.00190000'], ['2788.60000000', '0.03570000']]",55.73769999999999,38.68789999999999,,,,,,,,,,,,,,,,,
2025-07-10 08:57:28.449979+00:00,binance,BTCUSDT,spot,,,,,111240.49,111240.49,111240.5,18771.43705,2073240386.1960876,111999.79,108503.0,2.353,,,,,,,,,
